,City Name,Country Code,City Data,City Latitude,City Longitude,City Temperature,City Humidity,City Cloudiness,City Wind Speed
0,Belyy Yar,RU,1659527165,53.6039,91.3903,68.86,56,0,8.95
1,Bone,DE,1659527166,51.9669,12.1396,91.81,27,53,4.59
2,Ushuaia,AR,1659527165,-54.8,-68.3,33.46,93,40,2.3
3,Ribeira Grande,PT,1659527166,38.5167,-28.7,79.2,89,40,9.22
4,Broome,US,1659527142,42.2506,-75.833,64.54,90,0,1.99
5,Bluff,NZ,1659527167,-46.6,168.3333,44.8,81,100,11.14
6,Busselton,AU,1659527167,-33.65,115.3333,54.3,77,99,18.21
7,Giohar,SO,1659527167,2.7809,45.5005,86.18,44,47,22.75
8,Havøysund,NO,1659527168,70.9963,24.6622,52.03,82,81,12.62
9,Koshurnikovo,RU,1659527168,54.1667,93.3,61.07,63,75,4.25
10,Hermanus,ZA,1659527169,-34.4187,19.2345,58.8,73,24,11.54
11,Rikitea,PF,1659527171,-23.1203,-134.9692,72.25,72,59,15.23
12,Beberibe,BR,1659527171,-4.1797,-38.1306,78.78,78,68,13.06
13,Xai-Xai,MZ,1659527172,-25.0519,33.6442,75.11,46,3,7.54
14,Punta Arenas,CL,1659526959,-53.15,-70.9167,39.31,87,75,6.91
15,Tiksi,RU,1659527173,71.6872,128.8694,40.82,83,100,2.21
16,Kandrian,PG,1659527173,-6.2167,149.55,78.55,88,100,8.03
17,San José del Palmar,CO,1659527173,4.9742,-76.2283,62.2,94,99,1.86
18,Kavieng,PG,1659527174,-2.5744,150.7967,82.27,78,85,16.4
19,Lompoc,US,1659527174,34.6391,-120.4579,60.94,92,100,13.0
20,Pisco,PE,1659527175,-13.7,-76.2167,51.85,82,0,2.3
21,Marzuq,YE,1659527175,14.4,46.4667,89.04,36,100,5.01
22,Nuuk,GL,1659527176,64.1835,-51.7216,48.81,87,75,2.3
23,Guiyang,CN,1659527176,26.5833,106.7167,86.49,48,40,8.95
24,Arraial do Cabo,BR,1659527177,-22.9661,-42.0278,69.66,88,20,3.44
25,Iskateley,RU,1659527177,67.6803,53.1512,76.39,45,96,19.17
26,Bandarbeyla,SO,1659527178,9.4942,50.8122,84.43,60,76,30.09
27,Mataura,NZ,1659527178,-46.1927,168.8643,44.47,92,100,3.36
28,Padang,ID,1659527178,-0.9492,100.3543,80.65,89,95,5.46
29,Vaini,TO,1659527179,-21.2,-175.2,75.36,94,20,6.91
30,Cherskiy,RU,1659527179,68.75,161.3,41.4,94,100,9.69
31,Ambon City,ID,1659527179,-3.6954,128.1814,77.14,88,40,8.05
32,Bulawayo,ZW,1659527180,-20.15,28.5833,76.37,24,0,5.17
33,Grindavik,IS,1659527180,63.8424,-22.4338,50.47,62,75,16.11
34,Airai,TL,1659527181,-8.9266,125.4092,57.51,86,96,1.77
35,Ulladulla,AU,1659527181,-35.35,150.4667,59.16,80,7,8.66
36,Quatre Cocos,MU,1659527182,-20.2078,57.7625,74.08,63,21,12.19
37,Saint-Philippe,RE,1659527182,-21.3585,55.7679,74.79,82,42,11.72
38,Norman Wells,CA,1659527182,65.282,-126.8329,55.44,94,75,14.97
39,Vallenar,CL,1659527183,-28.5708,-70.7581,50.94,89,99,2.73
40,Ust'-Omchug,RU,1659527183,61.15,149.6333,58.41,79,100,7.11
41,Sitka,US,1659527183,57.0531,-135.33,53.49,87,20,3.44
42,Nikolskoye,RU,1659527184,59.7035,30.7861,76.87,41,79,6.64
43,Tuktoyaktuk,CA,1659527185,69.4541,-133.0374,43.14,91,94,8.93
44,Mahon,ES,1659527185,39.8885,4.2658,90.16,37,20,9.22
45,Kiama,AU,1659527186,-34.6833,150.8667,66.0,83,2,10.25
46,Avarua,CK,1659527186,-21.2078,-159.775,73.45,60,75,14.97
47,Lima,PE,1659527066,-12.0432,-77.0282,58.89,87,100,8.05
48,Izberbash,RU,1659527187,42.5696,47.8645,87.85,51,16,9.19
49,Port Alfred,ZA,1659527188,-33.5906,26.891,72.18,57,48,4.12
50,Cape Town,ZA,1659526974,-33.9258,18.4232,64.89,67,40,10.36
51,San Matías,BO,1659527188,-16.3667,-58.4,78.49,31,46,5.23
52,Togur,RU,1659527188,58.3631,82.8265,64.44,60,97,6.82
53,Lorengau,PG,1659527189,-2.0226,147.2712,82.4,77,99,12.06
54,Olbia,IT,1659527189,40.9214,9.4856,87.85,62,20,14.97
55,San Patricio,US,1659527190,28.017,-97.5169,84.88,79,17,12.68
56,Jamestown,US,1659527177,42.097,-79.2353,64.71,74,40,5.75
57,Biak,ID,1659527190,-0.9131,122.8766,75.94,85,71,6.15
58,Loíza,PR,1659527191,18.4313,-65.8802,83.05,81,40,3.44
59,Hithadhoo,MV,1659527191,-0.6,73.0833,80.19,78,21,13.65
60,Melita,CA,1659527191,49.2681,-100.9967,55.54,89,0,8.19
61,Kapaa,US,1659527192,22.0752,-159.319,79.12,88,0,13.8
62,Kaitangata,NZ,1659527192,-46.2817,169.8464,43.9,81,93,4.45
63,Albany,US,1659527193,42.6001,-73.9662,68.79,78,2,3.91
64,Faya,SA,1659527193,18.3851,42.4509,75.72,56,97,10.45
